"","AI.PA.Open","AI.PA.High","AI.PA.Low","AI.PA.Close","AI.PA.Volume","AI.PA.Adjusted"
"2021-02-01",136.5,137.199997,135.649994,136.100006,714800,133.466125
"2021-02-02",136.5,137.850006,135.800003,135.850006,1022688,133.220963
"2021-02-03",136.449997,137.5,136.050003,136.5,560372,133.858383
"2021-02-04",136.300003,137.550003,135.600006,136.350006,790280,133.711288
"2021-02-05",136.199997,136.899994,135.550003,136.25,698441,133.61322
"2021-02-08",136.800003,137.399994,135.949997,136.800003,621520,134.152573
"2021-02-09",136.5,137.5,135.949997,137.5,640339,134.83902
"2021-02-10",138,138,133.899994,134.75,1075420,132.142242
"2021-02-11",135.350006,135.600006,134.449997,134.949997,717594,132.338364
"2021-02-12",134.399994,135.25,134.149994,134.899994,668289,132.289337
"2021-02-15",135.199997,135.5,134.25,134.25,656520,131.651917
"2021-02-16",134.350006,135.050003,133.149994,133.149994,594960,130.573196
"2021-02-17",133.050003,134.300003,133,133.550003,673121,130.965469
"2021-02-18",133.149994,133.600006,132.399994,133,694327,130.426117
"2021-02-19",133.449997,133.649994,132.149994,132.149994,782048,129.59256
"2021-02-22",132.100006,132.199997,130.850006,131.100006,835870,128.562881
"2021-02-23",131.300003,131.5,129.350006,130.350006,952000,127.8274
"2021-02-24",130.149994,131.75,129.300003,129.300003,1022464,126.797714
"2021-02-25",129.449997,129.5,126.800003,126.800003,1554359,124.3461
"2021-02-26",126,127.150002,124.25,124.699997,1813739,122.286736
"2021-03-01",125.75,127.400002,125.650002,127.400002,1250952,124.934486
"2021-03-02",127.400002,127.650002,126.650002,126.900002,907165,124.44416
"2021-03-03",127.550003,128.899994,125.849998,126.199997,981310,123.757706
"2021-03-04",126,127.650002,125.75,127.449997,855092,124.983513
"2021-03-05",127.400002,128.399994,126.050003,127.449997,873402,124.983513
"2021-03-08",127.699997,131.449997,127.5,130.850006,1116298,128.317719
"2021-03-09",130.949997,131.850006,130.149994,130.550003,1000542,128.023529
"2021-03-10",131.050003,134.350006,130.600006,134.350006,930475,131.749985
"2021-03-11",134.399994,134.449997,133.199997,133.600006,752117,131.014511
"2021-03-12",133.449997,133.600006,132.699997,133,561437,130.426117
"2021-03-15",133.649994,134.25,132.949997,133.449997,568285,130.867401
"2021-03-16",134,135.949997,133.149994,135.5,824651,132.877731
"2021-03-17",135.550003,135.850006,134,135.5,784544,132.877731
"2021-03-18",135.949997,136.699997,134.649994,136.699997,1050443,134.054504
