"","CA.PA.Open","CA.PA.High","CA.PA.Low","CA.PA.Close","CA.PA.Volume","CA.PA.Adjusted"
"2021-02-01",14.015,14.245,13.925,14.1,2846892,13.702467
"2021-02-02",14.18,14.31,14.05,14.27,3351544,13.867675
"2021-02-03",14.305,14.615,14.01,14.125,4210571,13.726762
"2021-02-04",14.22,14.435,14.16,14.17,2590132,13.770494
"2021-02-05",14.32,14.64,14.28,14.48,3836250,14.071753
"2021-02-08",14.51,14.555,14.37,14.37,1947131,13.964854
"2021-02-09",14.4,14.635,14.355,14.56,2618933,14.149498
"2021-02-10",14.61,14.86,14.535,14.575,2623230,14.164075
"2021-02-11",14.605,14.8,14.49,14.49,2460160,14.081471
"2021-02-12",14.485,14.53,14.345,14.445,1548644,14.03774
"2021-02-15",14.52,14.84,14.495,14.725,2787905,14.309846
"2021-02-16",14.76,14.82,14.61,14.65,1759297,14.23696
"2021-02-17",14.66,14.995,14.61,14.72,3754019,14.304987
"2021-02-18",15.16,15.24,14.575,14.63,4237190,14.217525
"2021-02-19",14.695,15.145,14.575,15.05,5072575,14.625683
"2021-02-22",15.05,15.05,14.805,14.9,2713454,14.479912
"2021-02-23",14.945,14.95,14.63,14.725,2222918,14.309846
"2021-02-24",14.69,14.8,14.465,14.565,2740238,14.154356
"2021-02-25",14.57,14.815,14.56,14.71,2499360,14.295269
"2021-02-26",14.57,14.62,14.43,14.445,3660855,14.03774
"2021-03-01",14.62,14.65,14.35,14.35,2519521,13.945419
"2021-03-02",14.37,14.445,14.235,14.235,2022097,13.83366
"2021-03-03",14.25,14.37,14.145,14.26,1904505,13.857956
"2021-03-04",14.23,14.41,14.165,14.33,2057412,13.925982
"2021-03-05",14.32,14.335,14.135,14.28,2958789,13.877392
"2021-03-08",14.265,14.38,14.195,14.31,2589086,13.906547
"2021-03-09",14.395,14.51,14.33,14.395,2648181,13.98915
"2021-03-10",14.385,14.59,14.285,14.59,2836555,14.178652
"2021-03-11",14.58,14.63,14.3,14.3,2470556,13.896829
"2021-03-12",14.25,14.705,14.245,14.6,2944421,14.188371
"2021-03-15",14.65,14.785,14.515,14.555,2010347,14.144639
"2021-03-16",14.585,14.63,14.49,14.575,2784984,14.164075
"2021-03-17",14.56,14.61,14.375,14.43,2426130,14.023163
"2021-03-18",14.45,14.83,14.42,14.74,3113866,14.324423
"2021-03-19",14.67,14.855,14.67,14.765,4633591,14.348719
"2021-03-22",14.725,14.73,14.57,14.6,1981332,14.188371
"2021-03-23",14.59,14.75,14.495,14.75,1803186,14.334141
"2021-03-24",14.89,15.155,14.77,15.09,4439368,14.664556
"2021-03-25",15.045,15.52,15.04,15.275,3279263,14.844338
"2021-03-26",15.345,15.425,15.255,15.275,2509148,14.844338
"2021-03-29",15.295,15.41,15.26,15.34,1811454,14.907507
"2021-03-30",15.39,15.515,15.265,15.345,2693585,14.912366
"2021-03-31",15.32,15.61,15.29,15.445,2550364,15.009546
"2021-04-01",15.425,15.435,15.105,15.25,2404959,14.820045
"2021-04-06",15.385,15.455,15.19,15.19,2480134,14.761735
"2021-04-07",15.19,15.45,15.19,15.3,2683096,14.868634
"2021-04-08",15.31,15.335,15.13,15.155,2196346,14.727722
"2021-04-09",15.185,15.25,14.86,14.88,2726149,14.460476
"2021-04-12",14.86,15.135,14.81,14.965,2281266,14.543079
"2021-04-13",15.02,15.055,14.82,14.9,2046349,14.479912
"2021-04-14",14.92,15.05,14.855,14.955,1933245,14.533361
"2021-04-15",14.995,15.1,14.98,14.995,2298084,14.572233
"2021-04-16",14.99,15.175,14.975,15.14,2794296,14.713145
"2021-04-19",15.11,15.41,15.11,15.37,2564423,14.936661
"2021-04-20",15.33,15.38,14.995,15.095,3547744,14.669415
"2021-04-21",15.45,15.895,15.45,15.855,6307946,15.407987
"2021-04-22",15.9,15.925,15.76,15.82,2182941,15.373973
"2021-04-23",15.845,15.92,15.59,15.76,1784315,15.315665
"2021-04-26",15.73,15.94,15.695,15.8,2087381,15.354538
"2021-04-27",15.775,15.975,15.77,15.965,2072018,15.514886
"2021-04-28",16,16.125,15.925,15.955,2286855,15.505167
"2021-04-29",16.014999,16.055,15.91,15.995,1782382,15.54404
"2021-04-30",15.985,16.190001,15.97,16.105,2707350,15.650938
"2021-05-03",16.120001,16.174999,15.945,16.174999,1652849,15.718964
"2021-05-04",16.18,16.264999,15.98,16.040001,2554302,15.587771
"2021-05-05",16.1,16.355,16.02,16.254999,2721628,15.796708
"2021-05-06",16.264999,16.555,16.23,16.555,3655016,16.088251
"2021-05-07",16.615,16.77,16.415001,16.52,4359245,16.054239
"2021-05-10",16.52,16.834999,16.514999,16.809999,3399050,16.336061
"2021-05-11",16.674999,16.855,16.525,16.559999,3994969,16.093109
"2021-05-12",16.559999,16.959999,16.549999,16.885,4521231,16.408947
"2021-05-13",16.775,17.004999,16.700001,16.940001,2303497,16.462397
"2021-05-14",17.02,17.120001,16.934999,17.049999,2885869,16.569294
"2021-05-17",17.094999,17.395,17.09,17.285,4798620,16.79767
"2021-05-18",17.299999,17.405001,17.225,17.334999,3328768,16.846258
"2021-05-19",17.225,17.49,17.135,17.334999,3810972,16.846258
"2021-05-20",17.325001,17.450001,17.280001,17.309999,3020807,16.821964
"2021-05-21",17.299999,17.4,17.105,17.135,4690354,16.651899
"2021-05-24",17.15,17.245001,17.105,17.205,2255866,16.719925
"2021-05-25",17.209999,17.275,17.025,17.025,2649018,16.545
"2021-05-26",16.605,16.695,16.360001,16.370001,3683210,16.370001
"2021-05-27",16.34,16.684999,16.1,16.594999,5539450,16.594999
"2021-05-28",16.635,16.799999,16.635,16.700001,2748937,16.700001
"2021-05-31",16.67,16.834999,16.565001,16.719999,2213637,16.719999
"2021-06-01",16.75,16.965,16.75,16.875,2756059,16.875
"2021-06-02",16.915001,16.975,16.83,16.870001,1795937,16.870001
"2021-06-03",16.905001,17.299999,16.905001,17.26,3029995,17.26
"2021-06-04",17.25,17.41,17.110001,17.325001,2277056,17.325001
"2021-06-07",17.27,17.469999,17.245001,17.375,2634667,17.375
"2021-06-08",17.309999,17.52,17.305,17.415001,2486140,17.415001
"2021-06-09",17.4,17.465,17.084999,17.15,3667629,17.15
"2021-06-10",17.139999,17.235001,16.985001,17.184999,3067381,17.184999
"2021-06-11",17.174999,17.280001,17.075001,17.125,2619493,17.125
"2021-06-14",17.145,17.23,17.110001,17.195,1830570,17.195
"2021-06-15",17.225,17.285,17.1,17.1,2071971,17.1
"2021-06-16",17.035,17.08,16.875,16.875,3608375,16.875
"2021-06-17",16.844999,17.030001,16.700001,17.004999,1783563,17.004999
"2021-06-18",16.969999,17.1,16.665001,16.855,4741676,16.855
"2021-06-21",16.889999,17.084999,16.885,17.065001,1780612,17.065001
"2021-06-22",17.094999,17.15,16.975,17.07,1865363,17.07
"2021-06-23",17.084999,17.16,16.950001,16.950001,1899684,16.950001
"2021-06-24",17,17.139999,16.965,17.075001,2646947,17.075001
"2021-06-25",17.1,17.110001,16.879999,16.959999,2090570,16.959999
"2021-06-28",16.9,16.905001,16.695,16.725,2468221,16.725
"2021-06-29",16.74,16.775,16.48,16.504999,2669920,16.504999
"2021-06-30",16.48,16.635,16.365,16.584999,2467017,16.584999
"2021-07-01",16.67,16.870001,16.625,16.754999,2555069,16.754999
"2021-07-02",16.795,16.92,16.735001,16.889999,1621875,16.889999
"2021-07-05",16.85,17.07,16.85,17.035,1501733,17.035
"2021-07-06",17.055,17.440001,16.995001,17.075001,2693457,17.075001
"2021-07-07",17.059999,17.155001,16.99,17.1,2089949,17.1
"2021-07-08",16.879999,16.915001,16.254999,16.290001,4235576,16.290001
"2021-07-09",16.33,16.485001,16.26,16.35,2259664,16.35
"2021-07-12",16.360001,16.389999,16.1,16.280001,2138578,16.280001
"2021-07-13",16.285,16.389999,16.23,16.299999,1492774,16.299999
"2021-07-14",16.280001,16.299999,16.17,16.205,1159469,16.205
"2021-07-15",16.165001,16.195,15.805,16.145,1942166,16.145
"2021-07-16",16.145,16.389999,16.145,16.24,1532918,16.24
"2021-07-19",16.145,16.184999,15.715,15.78,3023039,15.78
"2021-07-20",15.885,15.995,15.645,15.675,3338266,15.675
"2021-07-21",15.72,15.795,15.62,15.71,2662411,15.71
"2021-07-22",15.735,15.88,15.725,15.765,2186620,15.765
"2021-07-23",15.8,15.965,15.77,15.945,1813523,15.945
"2021-07-26",15.875,15.92,15.765,15.92,1296111,15.92
"2021-07-27",15.925,15.965,15.75,15.87,2494891,15.87
"2021-07-28",15.84,15.895,15.755,15.825,2071554,15.825
"2021-07-29",15.71,16.385,15.7,16.280001,4657000,16.280001
