"","EDF.PA.Open","EDF.PA.High","EDF.PA.Low","EDF.PA.Close","EDF.PA.Volume","EDF.PA.Adjusted"
"2021-02-01",10.33,10.425,10.265,10.35,2128950,9.924145
"2021-02-02",10.43,10.555,10.32,10.515,2958197,10.082356
"2021-02-03",10.6,10.67,10.46,10.635,2404482,10.197419
"2021-02-04",10.66,10.74,10.53,10.64,3190226,10.202213
"2021-02-05",10.69,10.885,10.69,10.76,2856463,10.317276
"2021-02-08",10.805,10.84,10.665,10.665,1730144,10.226184
"2021-02-09",10.66,10.66,10.415,10.48,2259325,10.048796
"2021-02-10",10.54,10.675,10.465,10.61,3222099,10.173447
"2021-02-11",10.66,10.695,10.57,10.65,1973372,10.211801
"2021-02-12",10.6,10.675,10.5,10.615,1404114,10.178241
"2021-02-15",10.68,10.75,10.61,10.66,2016501,10.221389
"2021-02-16",10.7,10.72,10.515,10.54,1562557,10.106327
"2021-02-17",10.535,10.68,10.45,10.585,2036182,10.149475
"2021-02-18",10.57,10.88,10.205,10.28,4279076,9.857024
"2021-02-19",10.31,10.35,10.115,10.2,2564099,9.780316
"2021-02-22",10.24,10.27,10.045,10.05,2712091,9.636489
"2021-02-23",10.09,10.11,9.872,10.025,3262429,9.612516
"2021-02-24",9.986,10.19,9.91,10.06,2737348,9.646077
"2021-02-25",10.15,10.15,9.98,9.986,2421183,9.575122
"2021-02-26",9.948,10.03,9.82,9.908,2974777,9.500331
"2021-03-01",9.97,10.095,9.944,10.085,1999584,9.670048
"2021-03-02",10.04,10.25,9.984,10.025,2187481,9.612516
"2021-03-03",10.11,10.12,9.732,9.806,2662216,9.402527
"2021-03-04",9.818,9.95,9.792,9.85,3457193,9.444718
"2021-03-05",9.844,9.85,9.71,9.74,2446867,9.339243
"2021-03-08",9.78,9.866,9.632,9.798,2769930,9.394856
"2021-03-09",9.828,10.2,9.766,9.95,4945453,9.540603
"2021-03-10",9.946,10,9.84,9.89,3668047,9.483072
"2021-03-11",10.415,11.075,10.285,10.97,8048313,10.518635
"2021-03-12",10.935,11.16,10.76,11.09,4236941,10.633697
"2021-03-15",11.22,11.225,10.935,11.04,2310405,10.585754
"2021-03-16",11.05,11.14,10.99,11.1,2392057,10.643286
"2021-03-17",11.05,11.605,10.98,11.215,3441529,10.753553
"2021-03-18",11.235,11.25,10.99,11,3125732,10.5474
"2021-03-19",10.96,11.14,10.92,11.115,5305018,10.657668
"2021-03-22",11.08,11.095,10.895,11.07,2489671,10.614519
"2021-03-23",11.025,11.19,10.97,11.075,2352594,10.619314
"2021-03-24",11.05,11.295,10.96,11.29,2192754,10.825468
"2021-03-25",11.235,11.35,11.16,11.31,2837926,10.844646
"2021-03-26",11.33,11.33,11.2,11.2,2587085,10.739171
"2021-03-29",11.22,11.43,11.22,11.405,2151174,10.935736
"2021-03-30",11.385,11.435,11.24,11.335,2369896,10.868616
"2021-03-31",11.325,11.49,11.29,11.44,2213632,10.969296
"2021-04-01",11.44,11.51,11.36,11.44,2227508,10.969296
"2021-04-06",11.5,11.52,11.19,11.225,2807600,10.763143
"2021-04-07",12.4,12.485,11.875,12.4,10221076,11.889796
"2021-04-08",12.49,12.495,12.135,12.235,4081130,11.731586
"2021-04-09",12.205,12.225,11.945,11.96,2666140,11.4679
"2021-04-12",11.92,12.2,11.86,12.13,3019372,11.630905
"2021-04-13",12.17,12.5,12.17,12.41,3037041,11.899384
"2021-04-14",12.435,12.44,12.14,12.17,2213944,11.66926
"2021-04-15",12.2,12.29,12.1,12.12,2069515,11.621317
"2021-04-16",12.1,12.19,11.96,11.98,2749666,11.487078
"2021-04-19",12.02,12.215,12.01,12.07,2384591,11.573374
"2021-04-20",12,12.01,11.745,11.825,3265068,11.338455
"2021-04-21",11.86,11.955,11.11,11.555,5906366,11.079565
"2021-04-22",11.58,11.825,11.58,11.745,2296418,11.261746
"2021-04-23",11.3,11.52,11.135,11.4,4522778,10.930942
"2021-04-26",11.375,11.575,11.375,11.535,1888905,11.060387
"2021-04-27",12,12.39,12,12.16,4749783,11.659671
"2021-04-28",12.16,12.32,12.13,12.29,2576885,11.784322
"2021-04-29",12.32,12.355,12.175,12.255,1990044,11.750762
"2021-04-30",12.255,12.3,12.12,12.12,2366010,11.621317
"2021-05-03",12.065,12.17,12.02,12.155,1462720,11.654877
"2021-05-04",12.12,12.235,11.945,11.945,2139258,11.453517
"2021-05-05",11.99,12.165,11.99,12.085,2274055,11.587757
"2021-05-06",12.06,12.115,11.6,11.735,3018477,11.252158
"2021-05-07",11.77,11.825,11.65,11.8,1956420,11.314484
"2021-05-10",11.84,11.92,11.685,11.685,1701709,11.204216
"2021-05-11",11.625,11.625,11.3,11.46,4120368,10.988473
"2021-05-12",11.235,11.56,11.22,11.41,3114098,11.144753
"2021-05-13",11.32,11.61,11.215,11.535,2968553,11.266848
"2021-05-14",11.6,11.91,11.455,11.865,2651830,11.589176
"2021-05-17",11.89,11.93,11.63,11.805,2001782,11.530572
"2021-05-18",11.88,12.06,11.73,11.74,2148592,11.467082
"2021-05-19",11.675,11.675,11.4,11.535,2407931,11.266848
"2021-05-20",11.565,11.625,11.43,11.625,1858230,11.354755
"2021-05-21",11.66,11.855,11.645,11.785,2297168,11.511036
"2021-05-24",11.73,11.82,11.625,11.685,1528067,11.413362
"2021-05-25",11.69,11.745,11.625,11.625,2089471,11.354755
"2021-05-26",11.665,11.675,11.515,11.585,2184250,11.315685
"2021-05-27",11.565,11.565,11.42,11.455,14182962,11.188707
"2021-05-28",11.475,11.66,11.385,11.605,2353655,11.33522
"2021-05-31",11.59,11.62,11.38,11.425,1691557,11.159405
"2021-06-01",11.5,11.57,11.385,11.52,1912026,11.252197
"2021-06-02",11.545,11.545,11.34,11.38,1680604,11.115451
"2021-06-03",11.375,11.38,11.19,11.31,1610866,11.047079
"2021-06-04",11.305,11.305,11.135,11.22,1446101,10.959171
"2021-06-07",11.22,11.79,11.085,11.635,3790263,11.364524
"2021-06-08",11.6,11.745,11.46,11.69,2466760,11.418244
"2021-06-09",11.74,12.015,11.66,11.965,2501778,11.686852
"2021-06-10",11.97,11.97,11.595,11.67,2074857,11.398709
"2021-06-11",11.86,12.06,11.85,12.055,3232361,11.77476
"2021-06-14",12.2,12.4,11.74,11.985,5294438,11.706387
"2021-06-15",12.005,12.005,11.725,11.82,2141347,11.545222
"2021-06-16",11.905,11.965,11.805,11.9,1815495,11.623363
"2021-06-17",11.915,11.95,11.695,11.865,2510759,11.589176
"2021-06-18",11.83,11.885,11.545,11.63,4140577,11.359639
"2021-06-21",11.56,11.64,11.42,11.63,2079770,11.359639
"2021-06-22",11.66,11.68,11.52,11.53,1749819,11.261964
"2021-06-23",11.55,11.575,11.36,11.445,3170825,11.17894
"2021-06-24",11.485,11.745,11.4,11.68,2397074,11.408478
"2021-06-25",11.7,11.725,11.565,11.675,1575230,11.403593
"2021-06-28",11.67,11.67,11.52,11.575,1931220,11.305918
"2021-06-29",11.59,11.695,11.53,11.68,1182922,11.408478
"2021-06-30",11.65,11.665,11.415,11.52,2264224,11.252197
"2021-07-01",11.6,11.765,11.525,11.735,2367484,11.462198
"2021-07-02",11.8,12.21,11.655,12.11,3206859,11.828481
"2021-07-05",11.85,11.955,11.52,11.9,2348414,11.623363
"2021-07-06",11.7,11.7,11.14,11.18,5142005,10.920101
