"","OR.PA.Open","OR.PA.High","OR.PA.Low","OR.PA.Close","OR.PA.Volume","OR.PA.Adjusted"
"2021-02-01",293.299988,297.399994,292.399994,296.5,391433,293.039764
"2021-02-02",297.600006,301.5,296.700012,298.399994,549226,294.917572
"2021-02-03",299.5,300.399994,294,295.899994,356030,292.446747
"2021-02-04",295.200012,298.100006,293.700012,298.100006,391934,294.621094
"2021-02-05",298.399994,306.700012,295.700012,305.600006,597291,302.033569
"2021-02-08",309.5,309.899994,306.899994,308.200012,494516,304.603241
"2021-02-09",309.700012,312.799988,307.600006,312.799988,409709,309.149506
"2021-02-10",312.200012,313.700012,310.600006,311.299988,333236,307.667023
"2021-02-11",311,312.899994,308.5,309,354308,305.39389
"2021-02-12",314.100006,319.399994,311.299988,318.299988,549397,314.585327
"2021-02-15",319,319.5,311.399994,315,452782,311.323853
"2021-02-16",314.299988,314.600006,311.100006,313.600006,387752,309.940216
"2021-02-17",312.5,317.600006,311.100006,317,385368,313.300507
"2021-02-18",317.899994,319.100006,316.100006,316.799988,376328,313.102844
"2021-02-19",319.700012,320,316.100006,316.100006,423226,312.411041
"2021-02-22",314.700012,314.700012,310.899994,310.899994,269044,307.271698
"2021-02-23",311.399994,311.799988,308.799988,311.700012,291515,308.062378
"2021-02-24",310.399994,312.600006,305.100006,307.200012,417372,303.614899
"2021-02-25",307.100006,310.200012,306.399994,306.899994,327936,303.31839
"2021-02-26",305.299988,307.799988,302.200012,302.799988,461133,299.266235
"2021-03-01",306.100006,307.5,304,305.700012,344245,302.132416
"2021-03-02",308.200012,311.5,307.700012,308.899994,384509,305.295044
"2021-03-03",309.200012,310.899994,305.299988,307.600006,401635,304.010223
"2021-03-04",307.299988,311.799988,307.200012,310.799988,408762,307.172852
"2021-03-05",309.600006,310.799988,306.399994,308.799988,450797,305.196198
"2021-03-08",309.700012,309.700012,304.299988,308.799988,475519,305.196198
"2021-03-09",309.700012,313.600006,307.5,311.100006,439111,307.469391
"2021-03-10",311.899994,318.5,311.600006,318.5,393490,314.78302
"2021-03-11",320,322,317.899994,321.100006,380086,317.352661
"2021-03-12",322,323.5,319,322.600006,334619,318.835175
"2021-03-15",323.899994,324.799988,320.200012,321.5,334566,317.748016
"2021-03-16",320.899994,323.700012,318.899994,323.399994,363752,319.625824
"2021-03-17",323.899994,326.399994,322,326,321663,322.195496
"2021-03-18",326.200012,326.299988,322,322,385109,318.242157
"2021-03-19",320.399994,323.700012,319.899994,320.399994,1112056,316.660828
"2021-03-22",319.5,322.600006,317.100006,320.799988,286547,317.056152
"2021-03-23",320.299988,324.899994,319.899994,321.700012,308077,317.945679
"2021-03-24",320.799988,321.399994,317.5,318.200012,328392,314.486511
"2021-03-25",316.600006,323.899994,316.100006,322.700012,374207,318.934021
"2021-03-26",322.799988,324.200012,321.600006,323.600006,317440,319.823486
"2021-03-29",325.399994,327.799988,325.200012,326.600006,271847,322.788483
"2021-03-30",327.5,328.200012,325.299988,327.799988,303582,323.974457
"2021-03-31",327.899994,329.100006,325.899994,326.799988,384508,322.986145
"2021-04-01",328.600006,328.600006,322.450012,323.850006,330383,320.070587
"2021-04-06",326.25,331.399994,325.75,331.149994,400388,327.28537
"2021-04-07",330.649994,331.450012,327.950012,330.700012,274918,326.840637
"2021-04-08",331.200012,339.850006,331.100006,339.600006,386573,335.63678
"2021-04-09",339.350006,341.149994,336.649994,338.450012,283493,334.500214
"2021-04-12",338.950012,339.450012,336.450012,337.100006,230409,333.165955
"2021-04-13",337.700012,341.350006,337.399994,340.049988,317108,336.081512
"2021-04-14",343.799988,344.450012,338.5,339.149994,328042,335.192017
"2021-04-15",339.600006,342.950012,337.850006,342.799988,352134,338.799408
"2021-04-16",336,338.950012,331.899994,336.549988,633124,332.622345
"2021-04-19",336.5,340.850006,336,338.850006,318467,334.895538
"2021-04-20",339.049988,340,337.549988,337.600006,433745,333.660126
"2021-04-21",337.350006,343.299988,337.299988,342.600006,404622,338.601776
"2021-04-22",342.700012,348.950012,342.149994,347.700012,387005,343.642242
"2021-04-23",348.75,350.649994,343.799988,345.450012,370661,341.418518
"2021-04-26",344.850006,346.200012,341.200012,342.75,278051,338.75
"2021-04-27",338.450012,340.200012,335.799988,336.200012,350311,336.200012
"2021-04-28",336.899994,340.600006,336.5,339,270094,339
"2021-04-29",340.799988,343.75,340.75,343.100006,332921,343.100006
"2021-04-30",344.049988,345.149994,341.649994,341.649994,451657,341.649994
"2021-05-03",341.850006,346.649994,341.700012,345.600006,307182,345.600006
"2021-05-04",345.549988,346.299988,340.700012,341.350006,425421,341.350006
"2021-05-05",342.5,347.75,342.5,346,464054,346
"2021-05-06",344.899994,349.350006,344.549988,347.649994,406481,347.649994
"2021-05-07",350,351.350006,347.299988,349.899994,350743,349.899994
"2021-05-10",350.649994,352.600006,349.100006,352.399994,280093,352.399994
"2021-05-11",350,351.100006,343.600006,346.399994,447033,346.399994
"2021-05-12",346.450012,348.149994,343.600006,346.299988,353063,346.299988
"2021-05-13",344.75,350.600006,342.299988,350.149994,269103,350.149994
"2021-05-14",352,353.350006,350.75,352.350006,278430,352.350006
"2021-05-17",353.25,357.299988,353,355.450012,259108,355.450012
"2021-05-18",357.850006,358.350006,351.950012,351.950012,333995,351.950012
"2021-05-19",347.100006,352.049988,346.549988,350.149994,372210,350.149994
"2021-05-20",350.25,359.049988,349.649994,358.850006,336395,358.850006
"2021-05-21",359.149994,362.649994,359.149994,361.299988,423940,361.299988
"2021-05-24",362.450012,364.899994,362.299988,364.700012,183525,364.700012
"2021-05-25",366.100006,369.049988,365.850006,367.200012,394419,367.200012
"2021-05-26",368.549988,371.600006,366.25,366.450012,338686,366.450012
"2021-05-27",366.75,368.850006,365.299988,365.899994,510673,365.899994
"2021-05-28",365.299988,372.399994,364.799988,371.549988,302370,371.549988
"2021-05-31",371.100006,372.299988,367.399994,368.299988,202080,368.299988
"2021-06-01",369.200012,372,367,370,363947,370
"2021-06-02",370.700012,372.600006,369.200012,371.600006,382628,371.600006
"2021-06-03",371.399994,373.899994,370.899994,372.850006,293361,372.850006
"2021-06-04",373.149994,377.649994,373.149994,376.399994,333270,376.399994
"2021-06-07",377,380.25,376.450012,378.75,310969,378.75
"2021-06-08",378.350006,382.649994,378.350006,380.799988,369622,380.799988
"2021-06-09",382.049988,384.299988,381.600006,382,360625,382
"2021-06-10",382,384.049988,380.75,382,400003,382
"2021-06-11",382.75,385.149994,381.950012,384.049988,364116,384.049988
"2021-06-14",385.75,388.799988,382.600006,384.549988,388520,384.549988
"2021-06-15",386.350006,391.399994,386.350006,387.450012,368634,387.450012
"2021-06-16",387.450012,391.700012,387.100006,389.200012,450103,389.200012
"2021-06-17",387.149994,391.399994,383.850006,391.399994,454116,391.399994
"2021-06-18",392,395.950012,389.600006,390.299988,646109,390.299988
"2021-06-21",389.149994,391.549988,388.200012,389.25,352771,389.25
"2021-06-22",388.399994,389.850006,386.100006,387.5,387076,387.5
"2021-06-23",387.049988,387.700012,381.200012,381.450012,404708,381.450012
"2021-06-24",383.649994,391.450012,383.549988,390.149994,477256,390.149994
"2021-06-25",388.350006,388.75,383.700012,385.399994,416611,385.399994
"2021-06-28",385.600006,387,384.700012,385.649994,271868,385.649994
"2021-06-29",384.950012,386,383.100006,383.25,323473,383.25
"2021-06-30",383,384.100006,374.799988,375.799988,601091,375.799988
"2021-07-01",377.049988,379.450012,373.549988,375.350006,353520,375.350006
"2021-07-02",374.399994,376.899994,371.5,372.649994,374877,372.649994
"2021-07-05",372.200012,373.450012,370.549988,372.700012,299358,372.700012
"2021-07-06",371.149994,371.850006,368.649994,370.5,388388,370.5
"2021-07-07",371.399994,376.950012,370.450012,376.5,364294,376.5
"2021-07-08",375.299988,375.5,360.450012,365,663800,365
"2021-07-09",365.899994,371.799988,365.5,371.799988,424352,371.799988
"2021-07-12",370.600006,376.5,370.299988,375.350006,310880,375.350006
"2021-07-13",375.899994,376,372.950012,375.5,305781,375.5
"2021-07-14",375.149994,377,373.799988,376.5,247290,376.5
"2021-07-15",376,378.799988,372.950012,373.600006,285544,373.600006
"2021-07-16",374.899994,376.850006,372.299988,374.600006,296833,374.600006
"2021-07-19",373.299988,376.850006,371.299988,373.149994,561295,373.149994
"2021-07-20",375.100006,380.899994,374.25,376.700012,361083,376.700012
"2021-07-21",378.649994,380.350006,377.649994,379.149994,288464,379.149994
"2021-07-22",379.100006,379.700012,376.049988,379.200012,238517,379.200012
"2021-07-23",380,387.399994,378.649994,387.049988,339206,387.049988
"2021-07-26",385.850006,386.700012,382.399994,383.5,231343,383.5
"2021-07-27",383.5,385.600006,380.649994,383.549988,266429,383.549988
"2021-07-28",383.799988,385.850006,382,385.850006,247176,385.850006
"2021-07-29",384.950012,386.549988,383.200012,384.899994,276694,384.899994
"2021-07-30",383.399994,388.75,379.799988,385.899994,453272,385.899994
"2021-08-02",387.549988,394.950012,386.899994,392.700012,335523,392.700012
"2021-08-03",393.850006,396.149994,391.399994,393.850006,231062,393.850006
"2021-08-04",395.600006,397.450012,393.75,395.399994,256807,395.399994
"2021-08-05",395.600006,399.950012,395.5,398.25,242631,398.25
"2021-08-06",397.5,400.75,397,399.049988,361422,399.049988
"2021-08-09",399.299988,402.700012,397,399.100006,194002,399.100006
"2021-08-10",398.549988,400.75,397.200012,398.149994,227915,398.149994
"2021-08-11",398.5,401,398.5,400.299988,182928,400.299988
"2021-08-12",400.75,406.25,400.700012,403.850006,394218,403.850006
"2021-08-13",404.649994,405,402.799988,403.100006,277968,403.100006
"2021-08-16",400.850006,401.149994,393.100006,398.600006,290164,398.600006
"2021-08-17",395.75,400.450012,394.799988,400.100006,283224,400.100006
"2021-08-18",400.100006,400.899994,392.75,393.200012,377917,393.200012
"2021-08-19",391.649994,391.950012,381.549988,388.799988,550750,388.799988
"2021-08-20",387,394.100006,384.5,392.5,349998,392.5
"2021-08-23",395.450012,396.950012,392.149994,395.100006,353416,395.100006
"2021-08-24",396,396.450012,391.100006,393.200012,268389,393.200012
"2021-08-25",394.649994,396,391.899994,393.049988,166387,393.049988
"2021-08-26",390.149994,394.100006,390,394.100006,211627,394.100006
"2021-08-27",394.850006,395.399994,392.049988,393.600006,170397,393.600006
"2021-08-30",393.200012,398.299988,392.799988,397.200012,181246,397.200012
"2021-08-31",398,398.399994,393.850006,396.299988,423802,396.299988
"2021-09-01",398.149994,400.549988,396.899994,399.5,324048,399.5
"2021-09-02",398,402.149994,396.649994,400.149994,212537,400.149994
"2021-09-03",400.100006,400.950012,392,394.850006,296365,394.850006
"2021-09-06",395.5,397.25,395.5,396.350006,182434,396.350006
"2021-09-07",395.049988,395.799988,392.950012,393.049988,266743,393.049988
"2021-09-08",391.100006,395.799988,387.350006,394.049988,339365,394.049988
"2021-09-09",390.100006,399.5,390.100006,397.700012,259346,397.700012
"2021-09-10",399.049988,401.100006,396.899994,398.350006,249531,398.350006
"2021-09-13",399.149994,402.649994,397.399994,397.5,210463,397.5
"2021-09-14",395.850006,399.049988,392.799988,398.600006,210769,398.600006
"2021-09-15",398.399994,399.950012,393,393,343506,393
"2021-09-16",394.200012,396.200012,383.299988,383.299988,545684,383.299988
