"","MC.PA.Open","MC.PA.High","MC.PA.Low","MC.PA.Close","MC.PA.Volume","MC.PA.Adjusted"
"2021-02-01",505,509.600006,501.600006,507.700012,430015,502.279633
"2021-02-02",512.700012,524.900024,511.100006,524.900024,547709,519.296021
"2021-02-03",526.099976,528.799988,520.599976,524.5,369967,518.900269
"2021-02-04",523.299988,525.799988,520.299988,525.099976,312012,519.493835
"2021-02-05",527,530.299988,523.599976,528.700012,304785,523.05542
"2021-02-08",530.799988,533.299988,525.700012,527.900024,328124,522.263977
"2021-02-09",531.599976,541.099976,528,537,376854,531.266785
"2021-02-10",541.900024,542.099976,527.099976,529.5,302934,523.846863
"2021-02-11",530,533.099976,526.5,531.5,362743,525.8255
"2021-02-12",529.299988,529.700012,525.5,529.299988,312149,523.648987
"2021-02-15",531.200012,536.299988,529.400024,535.900024,304779,530.178528
"2021-02-16",535.900024,540.200012,531.599976,539.799988,297402,534.036865
"2021-02-17",536,541.599976,530.599976,535,364343,529.288086
"2021-02-18",534.200012,538.400024,530.5,534,345527,528.298767
"2021-02-19",536.599976,544,536.099976,541.799988,420401,536.015503
"2021-02-22",539.700012,543.599976,535.400024,542.900024,281071,537.103821
"2021-02-23",545,545.200012,532.5,539.400024,326853,533.641174
"2021-02-24",538,539.299988,530.599976,532.799988,389117,527.111633
"2021-02-25",533.900024,536.299988,529.099976,531,341801,525.330872
"2021-02-26",523.599976,529.700012,519.5,525,509151,519.394897
"2021-03-01",530,537.299988,529.900024,537.099976,312876,531.365662
"2021-03-02",537.099976,543,534.700012,539.299988,268383,533.542175
"2021-03-03",543.200012,550,539.200012,543.799988,402528,537.994202
"2021-03-04",542.099976,546.700012,530.099976,533.900024,461650,528.19989
"2021-03-05",530,533,523.099976,523.200012,468641,517.614136
"2021-03-08",525.099976,535.400024,518.700012,534.900024,487719,529.189209
"2021-03-09",532.700012,542,527.700012,540.700012,424729,534.927307
"2021-03-10",540.5,554.299988,540.099976,553,377397,547.096008
"2021-03-11",553.700012,564.599976,553.400024,564.5,348410,558.473206
"2021-03-12",565.900024,566.900024,557.599976,563.400024,349657,557.384949
"2021-03-15",564.700012,567.5,553.599976,558.200012,330231,552.240417
"2021-03-16",556.200012,561.900024,555.099976,560.299988,330076,554.317993
"2021-03-17",560.400024,569.200012,558.900024,568.200012,305038,562.133728
"2021-03-18",570.5,570.799988,561.299988,566.299988,421418,560.253967
"2021-03-19",559.099976,563.799988,555.5,557.400024,1041228,551.448975
"2021-03-22",556.200012,563.200012,554.299988,556.599976,306281,550.657471
"2021-03-23",554.700012,557.5,551.400024,554.200012,302183,548.283203
"2021-03-24",550,556.099976,549.400024,553.400024,327022,547.49176
"2021-03-25",550,556.799988,547.099976,555.599976,298409,549.668152
"2021-03-26",555.599976,558.700012,552.5,554.900024,319037,548.975647
"2021-03-29",555.599976,559.799988,554.799988,554.900024,223531,548.975647
"2021-03-30",557.799988,573.5,557.799988,573.5,463377,567.377136
"2021-03-31",573.5,573.5,564.599976,568.099976,440619,562.034729
"2021-04-01",573.700012,573.799988,566.099976,571.700012,318700,565.596375
"2021-04-06",580,580.400024,572.5,576.799988,307550,570.641846
"2021-04-07",576.700012,577.299988,571.799988,577.200012,257919,571.037598
"2021-04-08",580.299988,587.599976,580.099976,586.099976,338943,579.842529
"2021-04-09",586.5,592.5,583.400024,588.299988,297019,582.019104
