"","ORA.PA.Open","ORA.PA.High","ORA.PA.Low","ORA.PA.Close","ORA.PA.Volume","ORA.PA.Adjusted"
"2021-02-01",9.744,9.842,9.68,9.726,5768606,9.229617
"2021-02-02",9.762,9.796,9.682,9.716,7225903,9.220127
"2021-02-03",9.786,9.86,9.682,9.788,7657351,9.288453
"2021-02-04",9.8,9.844,9.682,9.832,8409705,9.330207
"2021-02-05",9.88,9.896,9.768,9.844,6281438,9.341595
"2021-02-08",9.89,9.924,9.802,9.826,6500708,9.324514
"2021-02-09",9.8,9.81,9.7,9.732,6302079,9.235312
"2021-02-10",9.756,9.932,9.718,9.872,7109880,9.368166
"2021-02-11",9.872,9.882,9.712,9.72,6521174,9.223925
"2021-02-12",9.726,9.778,9.684,9.746,5530693,9.248597
"2021-02-15",9.792,9.966,9.724,9.89,6874255,9.385248
"2021-02-16",9.928,9.966,9.852,9.89,5342603,9.385248
"2021-02-17",9.898,10.1,9.84,10.05,9572045,9.537082
"2021-02-18",9.83,9.834,9.458,9.788,19328184,9.288453
"2021-02-19",9.762,9.878,9.68,9.764,7985078,9.265678
"2021-02-22",9.708,9.748,9.574,9.744,9139652,9.246699
"2021-02-23",9.734,9.838,9.672,9.79,9124014,9.290351
"2021-02-24",9.762,9.85,9.69,9.768,6416827,9.269474
"2021-02-25",9.728,9.868,9.72,9.794,7108429,9.294147
"2021-02-26",9.712,9.72,9.548,9.548,12272760,9.060702
"2021-03-01",9.642,9.692,9.59,9.606,6193177,9.115743
"2021-03-02",9.632,9.688,9.604,9.648,5286077,9.155599
"2021-03-03",9.684,9.714,9.55,9.622,6956889,9.130924
"2021-03-04",9.616,9.822,9.604,9.792,7619603,9.292249
"2021-03-05",9.796,9.904,9.758,9.872,8067127,9.368166
"2021-03-08",9.918,9.978,9.86,9.944,7309166,9.436491
"2021-03-09",9.98,10.065,9.898,9.918,7975798,9.411819
"2021-03-10",9.938,10.22,9.918,10.2,9701413,9.679426
"2021-03-11",10.25,10.285,10.135,10.185,6323656,9.665193
"2021-03-12",10.165,10.27,10.13,10.24,5762626,9.717384
"2021-03-15",10.275,10.45,10.27,10.335,7889341,9.807536
"2021-03-16",10.42,10.435,10.335,10.395,7798512,9.864475
"2021-03-17",10.41,10.47,10.335,10.445,6423145,9.911922
"2021-03-18",10.47,10.575,10.385,10.48,7052008,9.945136
"2021-03-19",10.47,10.68,10.41,10.46,34284115,9.926157
"2021-03-22",10.45,10.5,10.375,10.485,8429951,9.94988
"2021-03-23",10.48,10.585,10.39,10.555,7988102,10.016309
"2021-03-24",10.495,10.495,10.345,10.425,7853544,9.892943
"2021-03-25",10.41,10.495,10.305,10.4,6236737,9.869218
"2021-03-26",10.445,10.505,10.42,10.455,7061560,9.921412
"2021-03-29",10.46,10.665,10.46,10.59,9091461,10.049521
"2021-03-30",10.615,10.675,10.535,10.56,7789571,10.021053
"2021-03-31",10.485,10.555,10.475,10.505,7730291,9.96886
"2021-04-01",10.512,10.554,10.412,10.468,6548539,9.933749
"2021-04-06",10.514,10.552,10.45,10.454,5631879,9.920464
"2021-04-07",10.484,10.562,10.464,10.504,5435176,9.967911
"2021-04-08",10.52,10.576,10.47,10.56,5589578,10.021053
"2021-04-09",10.556,10.572,10.416,10.474,4742333,9.939442
"2021-04-12",10.472,10.48,10.312,10.344,7528692,9.816076
"2021-04-13",10.348,10.354,10.138,10.234,9507746,9.711692
"2021-04-14",10.254,10.268,10.12,10.228,6606404,9.705997
"2021-04-15",10.24,10.302,10.22,10.228,7175193,9.705997
"2021-04-16",10.24,10.356,10.2,10.35,7262980,9.821772
"2021-04-19",10.366,10.478,10.336,10.45,5178682,9.916667
"2021-04-20",10.446,10.486,10.398,10.486,7646649,9.95083
"2021-04-21",10.49,10.518,10.428,10.482,6457717,9.947035
"2021-04-22",10.352,10.4,10.22,10.312,8906785,9.78571
"2021-04-23",10.316,10.426,10.268,10.306,6764255,9.780016
"2021-04-26",10.3,10.376,10.256,10.31,4879855,9.783813
"2021-04-27",10.3,10.38,10.28,10.334,3456248,9.806587
"2021-04-28",10.364,10.49,10.362,10.422,6967502,9.890097
"2021-04-29",10.474,10.49,10.368,10.384,4870477,9.854035
"2021-04-30",10.382,10.428,10.322,10.35,7738424,9.821772
"2021-05-03",10.35,10.406,10.314,10.38,3768050,9.85024
"2021-05-04",10.38,10.556,10.38,10.442,8322653,9.909076
"2021-05-05",10.47,10.486,10.374,10.446,5926284,9.912871
"2021-05-06",10.47,10.56,10.426,10.494,5683830,9.958422
"2021-05-07",10.526,10.542,10.432,10.482,6008728,9.947035
"2021-05-10",10.5,10.6,10.492,10.6,6105932,10.059012
"2021-05-11",10.532,10.548,10.32,10.354,8976506,9.825566
"2021-05-12",10.36,10.498,10.326,10.484,5658721,9.948932
"2021-05-13",10.45,10.486,10.318,10.478,3539287,9.943237
"2021-05-14",10.53,10.59,10.508,10.558,3884183,10.019155
"2021-05-17",10.582,10.736,10.58,10.684,6187573,10.138724
"2021-05-18",10.632,10.632,10.47,10.528,7293333,9.990685
"2021-05-19",10.482,10.52,10.286,10.378,8359938,9.848342
