"","RNO.PA.Open","RNO.PA.High","RNO.PA.Low","RNO.PA.Close","RNO.PA.Volume","RNO.PA.Adjusted"
"2021-02-01",35.73,35.799999,34.744999,35.035,1238333,35.035
"2021-02-02",35.474998,36.220001,35.474998,35.98,1663997,35.98
"2021-02-03",36.404999,38.049999,36.400002,37.695,2492435,37.695
"2021-02-04",37.915001,38.544998,37.544998,38.355,1671193,38.355
"2021-02-05",38.895,40.740002,38.889999,40.360001,3286354,40.360001
"2021-02-08",40.195,40.939999,40,40.439999,1541021,40.439999
"2021-02-09",40.18,40.299999,38.959999,39.77,1565123,39.77
"2021-02-10",39.494999,40.294998,39.139999,39.259998,1243761,39.259998
"2021-02-11",39.255001,39.939999,39.18,39.389999,695427,39.389999
"2021-02-12",39.105,39.705002,38.57,39.34,896084,39.34
"2021-02-15",39.580002,39.884998,38.855,39.450001,1095211,39.450001
"2021-02-16",39.41,40.185001,39,39.915001,966521,39.915001
"2021-02-17",39.900002,40.244999,39.215,39.490002,1128070,39.490002
"2021-02-18",39.400002,40.134998,39.279999,39.799999,1219018,39.799999
"2021-02-19",38.349998,38.810001,36.400002,38.035,3547590,38.035
"2021-02-22",37.349998,37.395,36.240002,36.884998,2130721,36.884998
"2021-02-23",37.18,37.799999,36.505001,36.709999,1913758,36.709999
"2021-02-24",36.535,37.290001,36.32,36.965,1179914,36.965
"2021-02-25",37.400002,38.150002,37.125,37.355,1211019,37.355
"2021-02-26",36.599998,37.439999,36.400002,37.125,1607991,37.125
"2021-03-01",37.895,38.099998,37.395,37.634998,1057967,37.634998
"2021-03-02",37.645,37.955002,37.215,37.419998,909012,37.419998
"2021-03-03",38.450001,39.720001,38.450001,39.369999,2178269,39.369999
"2021-03-04",38.814999,39.445,38.18,39.174999,1576880,39.174999
"2021-03-05",38.779999,39.235001,38.330002,38.549999,1112964,38.549999
"2021-03-08",39,40.200001,38.630001,40.075001,1847642,40.075001
"2021-03-09",40.185001,41.419998,40.095001,40.84,1890505,40.84
"2021-03-10",40.619999,41.419998,40.435001,41.084999,1108315,41.084999
"2021-03-11",41.134998,41.235001,39.689999,39.735001,1648996,39.735001
"2021-03-12",39.645,40.014999,39.23,39.790001,1164318,39.790001
"2021-03-15",39.779999,40.130001,38.814999,38.994999,1466016,38.994999
"2021-03-16",39.209999,39.59,38.169998,38.445,1383659,38.445
"2021-03-17",38.685001,39.974998,38.540001,39.634998,1637692,39.634998
"2021-03-18",40.200001,41.075001,39.514999,40.075001,1700191,40.075001
"2021-03-19",39.5,39.619999,38.360001,38.810001,2497322,38.810001
"2021-03-22",38.360001,38.619999,38.025002,38.279999,1282190,38.279999
"2021-03-23",38.075001,38.165001,36.84,36.990002,1850469,36.990002
"2021-03-24",36.599998,37.470001,36.040001,37,1394694,37
"2021-03-25",36.685001,36.855,35.904999,36.705002,1524437,36.705002
"2021-03-26",37.195,37.400002,36.215,36.400002,1176225,36.400002
"2021-03-29",36.549999,36.785,36.165001,36.435001,1178654,36.435001
