"","TFI.PA.Open","TFI.PA.High","TFI.PA.Low","TFI.PA.Close","TFI.PA.Volume","TFI.PA.Adjusted"
"2021-02-01",7.245,7.355,7.165,7.23,543383,6.833473
"2021-02-02",7.255,7.27,7.15,7.205,335038,6.809844
"2021-02-03",7.27,7.3,7.195,7.245,280321,6.847651
"2021-02-04",7.255,7.295,7.19,7.235,245046,6.838199
"2021-02-05",7.285,7.36,7.145,7.28,570958,6.880732
"2021-02-08",7.3,7.3,7.215,7.235,345681,6.838199
"2021-02-09",7.23,7.24,7.085,7.19,339227,6.795667
"2021-02-10",7.17,7.28,7.115,7.28,423181,6.880732
"2021-02-11",7.235,7.35,6.87,7.035,1068030,6.649168
"2021-02-12",7.1,7.26,7.055,7.25,420283,6.852376
"2021-02-15",7.25,7.45,7.25,7.36,575363,6.956344
"2021-02-16",7.36,7.39,7.275,7.345,185420,6.942166
"2021-02-17",7.35,7.54,7.345,7.435,523397,7.02723
"2021-02-18",7.43,7.47,7.33,7.415,395061,7.008327
"2021-02-19",7.34,7.46,7.195,7.2,378192,6.805119
"2021-02-22",7.19,7.21,6.985,7.095,288845,6.705877
"2021-02-23",7.14,7.17,7.025,7.07,234161,6.682249
"2021-02-24",7,7.125,7,7.125,211022,6.734232
"2021-02-25",7.16,7.36,7.145,7.265,278592,6.866554
"2021-02-26",7.11,7.25,7.1,7.225,256609,6.828748
"2021-03-01",7.25,7.49,7.25,7.365,322024,6.961069
"2021-03-02",7.44,7.465,7.325,7.35,238715,6.946892
"2021-03-03",7.415,7.65,7.38,7.585,484463,7.169003
"2021-03-04",7.58,7.6,7.265,7.345,324563,6.942166
"2021-03-05",7.34,7.395,7.265,7.32,264379,6.918538
"2021-03-08",7.375,7.58,7.375,7.525,257989,7.112294
"2021-03-09",7.5,7.575,7.45,7.575,242845,7.159552
"2021-03-10",7.53,7.715,7.52,7.59,426338,7.173729
"2021-03-11",7.585,7.67,7.54,7.565,307327,7.150101
"2021-03-12",7.55,7.58,7.45,7.5,289280,7.088665
"2021-03-15",7.505,7.53,7.465,7.53,254264,7.11702
"2021-03-16",7.545,7.725,7.525,7.62,376659,7.202084
"2021-03-17",7.62,7.71,7.56,7.71,209081,7.287148
