"","UBI.PA.Open","UBI.PA.High","UBI.PA.Low","UBI.PA.Close","UBI.PA.Volume","UBI.PA.Adjusted"
"2021-02-01",83.239998,84.18,82.839996,83.900002,268157,83.900002
"2021-02-02",84.599998,85.160004,83.32,83.5,264548,83.5
"2021-02-03",83.080002,84.339996,82.839996,83.360001,225288,83.360001
"2021-02-04",83.360001,83.360001,81.699997,83.160004,316224,83.160004
"2021-02-05",84.18,84.599998,82.599998,84.599998,394280,84.599998
"2021-02-08",85.199997,85.959999,83.599998,83.839996,297796,83.839996
"2021-02-09",83.5,84.459999,82.620003,83.720001,326702,83.720001
"2021-02-10",80.879997,80.879997,76.480003,77.379997,1193566,77.379997
"2021-02-11",77.260002,78.459999,76.660004,76.860001,512638,76.860001
"2021-02-12",76.599998,76.620003,75.300003,75.480003,540397,75.480003
"2021-02-15",75.400002,76.839996,74.800003,75.400002,536915,75.400002
"2021-02-16",75.68,76.120003,74.540001,74.620003,403018,74.620003
"2021-02-17",74.300003,74.860001,72.980003,73.279999,662657,73.279999
"2021-02-18",73.080002,74.160004,73.040001,73.639999,489593,73.639999
"2021-02-19",73.82,74.480003,72.860001,73.32,382826,73.32
"2021-02-22",73.019997,73.040001,70.959999,70.959999,466836,70.959999
"2021-02-23",71.019997,71.019997,68.239998,69.580002,721291,69.580002
"2021-02-24",69.260002,69.760002,67.339996,67.959999,854823,67.959999
"2021-02-25",68.139999,68.459999,67.260002,68.339996,474542,68.339996
"2021-02-26",67.699997,68.419998,67.160004,67.580002,542188,67.580002
"2021-03-01",68.32,68.779999,67.519997,68.199997,370465,68.199997
"2021-03-02",68,68.959999,67.660004,68.360001,416457,68.360001
"2021-03-03",70,70.260002,67.480003,68.099998,597523,68.099998
"2021-03-04",68.260002,68.440002,65.82,66.919998,469864,66.919998
"2021-03-05",66.879997,66.879997,65.18,65.620003,497459,65.620003
"2021-03-08",65.800003,66.5,64.599998,66.080002,460715,66.080002
"2021-03-09",66.379997,67.720001,65.400002,66.68,615554,66.68
"2021-03-10",67,67.199997,65.400002,65.400002,534892,65.400002
"2021-03-11",65.559998,66.540001,65.239998,66.260002,712113,66.260002
"2021-03-12",66.139999,66.279999,65.220001,65.300003,349355,65.300003
"2021-03-15",65.82,66.540001,64.940002,65,381974,65
"2021-03-16",65,66.660004,64.18,66,606951,66
"2021-03-17",66.059998,66.080002,63.740002,63.880001,530037,63.880001
"2021-03-18",63.860001,64.900002,63.459999,63.740002,495113,63.740002
"2021-03-19",63.5,64.18,62.18,63.740002,955349,63.740002
"2021-03-22",63.639999,63.900002,62.599998,63.700001,494620,63.700001
"2021-03-23",63.740002,65.900002,63.380001,65.279999,675313,65.279999
"2021-03-24",65.279999,65.480003,63.619999,63.619999,415762,63.619999
"2021-03-25",63.439999,64.32,62.959999,63.080002,428287,63.080002
"2021-03-26",63.32,64.199997,62.939999,63.700001,372151,63.700001
"2021-03-29",63.82,64.339996,63.66,63.799999,385476,63.799999
"2021-03-30",63.799999,64.480003,63.34,63.98,421740,63.98
"2021-03-31",64.300003,65.540001,64.199997,64.879997,452518,64.879997
"2021-04-01",65.199997,65.459999,64.639999,65.360001,341709,65.360001
"2021-04-06",65.919998,67.160004,65.459999,66.82,511941,66.82
