"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","LVMH","LVMUY","416121323520","162.84","France"
"2","L'Oréal","OR.PA","229705287424","421","France"
"3","Hermès","HESAF","157969530880","1509.59","France"
"4","TotalEnergies","TTE","151959863296","58.37","France"
"5","Dior","CDI.PA","143900648648","767.02","France"
"6","Sanofi","SNY","130465095680","52.08","France"
"7","Schneider Electric","SBGSF","95552626688","170.84","France"
"8","Kering","KER.PA","95388307663","746.64","France"
"9","BNP Paribas","BNPQF","91500756992","74.19","France"
"10","EssilorLuxottica","ESLOF","86077267968","195.16","France"
"11","Air Liquide","AI.PA","81517750166","168.58","France"
"12","AXA","AXAHY","75726962688","31.68","France"
"13","Dassault Systèmes","DASTF","64183619584","48.91","France"
"14","Vinci","DG.PA","63967186258","112.41","France"
"15","Pernod Ricard","RI.PA","57659027868","217.8","France"
"16","Safran","SAFRF","51942408192","117.76","France"
"17","Crédit Agricole","CRARF","49030934528","15.97","France"
"18","Danone","BN.PA","40523622889","62.65","France"
"19","Capgemini","CAPMF","39497424896","219.75","France"
"20","ENGIE","ENGI.PA","39077175925","16.15","France"
"21","Compagnie de Saint-Gobain","CODGF","35810869248","65.61","France"
"22","Société Générale","GLE.PA","32277524732","38.96","France"
"23","Orange","ORAN","31896600576","12","France"
"24","EDF","ECIFF","31565623296","9.75","France"
"25","Michelin","ML.PA","29972494009","167.88","France"
"26","Legrand","LRC.F","27840111293","104.36","France"
"27","Veolia","VEOEF","25589221376","37.23","France"
"28","Teleperformance","TLPFF","22656991232","375.65","France"
"29","Thales","THLEF","19879534592","93.35","France"
"30","Publicis Groupe","PUB.PA","18250731081","73.2","France"
"31","CNP Assurances","CNP.PA","17149911885","24.99","France"
"32","Bolloré","BOP.F","16541774179","5.64","France"
"33","Amundi","AMUN.PA","15460166230","76.13","France"
"34","Carrefour","CRERF","14710245376","19.19","France"
"35","Suez","SEV.PA","14518263009","22.7","France"
"36","Vivendi","VIV.PA","13952874664","13.17","France"
"37","bioMérieux","BMXMF","13858087936","116.49","France"
"38","Aéroports de Paris","ADP.PA","13774265637","139.21","France"
"39","Worldline","WLN.PA","13633965393","48.67","France"
"40","Sodexo","SW.PA","13612372083","93","France"
"41","Bouygues","EN.PA","13594660176","35.81","France"
"42","Bureau Veritas","BVRDF","12948687872","28.62","France"
"43","Iliad","IL2.F","12095300155","205.62","France"
"44","Renault","RNSDF","11810082816","40.7","France"
"45","Alstom","ALO.PA","11734250004","31.01","France"
"46","Rémy Cointreau","RCO.PA","10943224467","211.67","France"
"47","Arkema","AKE.PA","10907981184","146.76","France"
"48","Eiffage","FGR.PA","10412564776","107.52","France"
"49","Edenred","EDEN.PA","10370900942","41.73","France"
"50","Unibail-Rodamco-Westfield","URW.AS","10181212742","71.86","France"
"51","Gecina","GFC.PA","9606374686","128.85","France"
"52","Accor","AC.PA","9484781024","36.21","France"
"53","Groupe SEB","SK.PA","8560236855","152.83","France"
"54","Getlink","GET.PA","8512924998","15.68","France"
"55","Ipsen","IPN.PA","8421885518","101.43","France"
"56","Française des Jeux","FDJ.VI","7928563965","40.57","France"
"57","Covivio","COV.PA","7876583523","82.17","France"
"58","Klépierre","LI.PA","7476794880","25.78","France"
"59","Ubisoft","UBSFF","7168016896","58.41","France"
"60","Valeo","FR.PA","6781254678","28.06","France"
"61","Rexel","RXL.PA","6737648970","22.08","France"
"62","ALD Automotive","ALD.PA","6360001676","15.59","France"
"63","Somfy","SO.PA","6237337726","181.11","France"
"64","Scor","SCR.PA","6202235117","34.29","France"
"65","Soitec","SOI.PA","6155549842","176.41","France"
"66","JCDecaux","DEC.PA","6095008860","28.02","France"
"67","Eurazeo","RF.PA","6057999544","78.93","France"
"68","Faurecia","EO.PA","5962174250","44.25","France"
"69","ALTEN","ATE.PA","5699239363","164.05","France"
"70","Icade","ICAD.PA","5052156915","66.74","France"
"71","OVH Groupe","OVH.PA","4984653205","26.44","France"
"72","Colas","RE.PA","4708395702","144.24","France"
"73","Tikehau Capital","TKO.PA","4692619808","27.25","France"
"74","Wendel","MF.PA","4659494241","106.81","France"
"75","Atos","ATO.PA","4408850660","36.91","France"
"76","Société Foncière Lyonnaise","FLY.PA","4111034723","96.16","France"
"77","Nexans","NEX.PA","3947068879","89.01","France"
"78","Groupe Lagardère","MMB.PA","3865043023","27.61","France"
"79","SPIE","SPIE.PA","3815229824","23.01","France"
"80","Neoen","NEOEN.PA","3808312228","34.53","France"
"81","Altarea","ALTA.PA","3588407462","178.82","France"
"82","FFP","FFP.PA","3309397951","133.79","France"
"83","Rubis","RUI.PA","3297460179","32.1","France"
"84","Air France-KLM","AF.PA","2956771206","4.58","France"
"85","Eutelsat","ETL.PA","2918526020","12.68","France"
"86","Covivio Hotels","COVH.PA","2764197157","18.66","France"
"87","Robertet","CBE.PA","2541247113","1041.77","France"
"88","BIC","BB.PA","2521008660","55.87","France"
"89","Orpea","ORP.PA","2500926413","38.59","France"
"90","Constellium","CSTM","2449595392","17.29","France"
"91","Casino Guichard-Perrachon","CO.PA","2430669761","22.35","France"
"92","Criteo","CRTO","2173858304","35.8","France"
"93","Talend","TLND","2171046400","65.97","France"
"94","Korian","KORI.PA","2090120289","20.11","France"
"95","TF1","TFI.PA","2003618685","9.52","France"
"96","Coface","COFA.PA","1992158230","13.33","France"
"97","Voltalia","VLTSA.PA","1855628755","19.35","France"
"98","Valneva SE","VALN","1789274112","34.06","France"
"99","Fnac Darty","FNAC.PA","1572240303","58.9","France"
"100","Exclusive Networks","EXN.PA","1495434295","16.35","France"
